sku,category_1_name,category_2_name,category_3_name,category_4_name,category_5_name,collection_real_launch_date_date,product_first_order_date,descricao_cor,familia_cor_nome
1003_1000038_0_GG,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,1969-12-31,2015-06-04,CINZA,CINZA
1019_40130843_0_G,Feminino,Acessórios,Meia-Calça,,,2015-05-04,2015-07-30,PRETO,PRETO
1035_1000070_0_U,Feminino,Acessórios,Chapéus,Aba Larga,,2016-02-29,2015-05-06,BURGUNDY,VERMELHO
1037_1000034_0_U,Feminino,Acessórios,Chapéus,Aba Larga,,2016-05-02,2016-05-24,ROXO,ROXO
1037_1000038_0_U,Feminino,Acessórios,Chapéus,Aba Larga,,2016-05-02,2016-05-20,CINZA,CINZA
1055_1000054_0_U,Feminino,Acessórios,Bolsas,Midi,,2015-05-04,2015-05-01,CARAMELO,MARROM
1065_1000026_0_U,Feminino,Acessórios,Bijoux,Colares,,2015-05-04,2015-05-05,ROSA,ROSA
1069_1000116_0_U,Feminino,Acessórios,Óculos de Sol,,,2015-05-04,2015-05-08,TARTARUGA,MARROM
1081_1000054_0_U,Feminino,Acessórios,Óculos de Sol,,,2015-09-02,2015-09-17,CARAMELO,MARROM
1083_31_0_U,Feminino,Acessórios,Óculos de Sol,Quadrado,,2015-05-04,2015-06-08,MARSALA,VERMELHO
1091_40130845_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,2015-05-04,2015-05-20,PRATA,PRATEADO
1161_40130843_0_42,Feminino,Moda,Roupas,Blusas,Camisas,1969-12-31,2015-07-07,PRETO,PRETO
1167_1000012_0_M,Feminino,Moda,Roupas,Blusas,Regatas,1969-12-31,2015-07-01,BEGE,BEGE
1167_1000034_0_G,Feminino,Moda,Roupas,Blusas,Regatas,1969-12-31,2015-07-01,ROXO,ROXO
1167_1000034_0_M,Feminino,Moda,Roupas,Blusas,Regatas,1969-12-31,2015-07-02,ROXO,ROXO
1173_1000030_0_40,Feminino,Moda,Roupas,Vestidos,Curto,1969-12-31,2015-07-04,AZUL,AZUL
1175_40130843_0_36,Feminino,Moda,Roupas,Vestidos,Curto,1969-12-31,2015-07-02,PRETO,PRETO
1175_40130843_0_42,Feminino,Moda,Roupas,Vestidos,Curto,1969-12-31,2015-07-11,PRETO,PRETO
1189_1000030_0_40,Feminino,Moda,Roupas,Saias,Mini,1969-12-31,2015-07-17,AZUL,AZUL
1193_1000078_0_40,Feminino,Moda,Roupas,Saias,Midi,1969-12-31,2015-07-01,TAUPE,BEGE
1223_1000078_0_M,Feminino,Moda,Roupas,Blusas,Blusas,1969-12-31,2015-07-10,TAUPE,BEGE
1223_1000078_0_P,Feminino,Moda,Roupas,Blusas,Blusas,1969-12-31,2015-07-05,TAUPE,BEGE
1227_40130845_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-08-11,PRATA,PRATEADO
1231_1000030_0_G,Feminino,Moda,Roupas,Calças,Pantalona,1969-12-31,2015-08-07,AZUL,AZUL
1231_1000030_0_P,Feminino,Moda,Roupas,Calças,Pantalona,1969-12-31,2015-09-01,AZUL,AZUL
1231_1000076_0_M,Feminino,Moda,Roupas,Calças,Reta,1969-12-31,2015-07-15,GRAFITE,CINZA
1231_1000076_0_PP,Feminino,Moda,Roupas,Calças,Reta,1969-12-31,2015-07-29,GRAFITE,CINZA
1231_1000076_0_PP,Feminino,Moda,Roupas,Calças,Pantalona,1969-12-31,2015-07-29,GRAFITE,CINZA
1231_1000086_0_G,Feminino,Moda,Roupas,Calças,Pantalona,1969-12-31,2015-07-21,UVA,ROXO
1231_1000086_0_M,Feminino,Moda,Roupas,Calças,Reta,1969-12-31,2015-07-01,UVA,ROXO
1257_40130845_0_U,Feminino,Acessórios,Bijoux,Anéis,,1969-12-31,2015-07-24,PRATA,PRATEADO
1275_1000018_0_U,Feminino,Acessórios,Bijoux,Colares,,1969-12-31,2015-07-31,DOURADO,DOURADO
